MD5 differential path toolbox
Copyright (C) 2009 Marc Stevens
http://homepages.cwi.nl/~stevens/

delta_m[11] = [!-14!]
Q-3:	|01101111 11101100 01111011 01101110|
Q47:	|........ ........ ........ ........| ok p=1
Q48:	|........ ........ ........ ........| ok p=1
Q49:	|........ ........ ........ ........| ok p=1
Q50:	|........ ........ ........ ........| ok p=1
Q51:	|........ ........ ........ ........| ok p=1
Q52:	|........ ........ ........ ........| ok p=1
Q53:	|........ ........ ........ ........| ok p=1
Q54:	|........ ........ ........ ........| ok p=1
Q55:	|........ ........ ........ ........| ok p=1
Q56:	|........ ........ ........ ........| ok p=1
Q57:	|........ ........ ........ ........| ok p=1
Q58:	|........ ........ ........ ........| ok p=1
Q59:	|........ ........ ........ ........| ok p=1
Q60:	|.......0 ........ ........ ........| ok p=1
Q61:	|......10 ........ ........ ........| ok p=1
Q62:	|......0- ........ ........ ........| ok p=1
Q63:	|......-+ ........ ........ ........| ok p=0.992188
Q64:	|.......- ........ ..-..... ........|
Starting...
20: Q5m5tunnel      = 1
20: Q4m5tunnel      = 1
20: Q14m6Q3m5tunnel = 3
21: Q10m10tunnel    = 5
21: Q9m10tunnel     = 3
22: Q8Q12m15tunnel  = 0
23: Q4m4tunnel      = 15
24: Q9m9tunnel      = 7
25: Q14Q3m14tunnel  = 0
.20: Q5m5tunnel      = 1
20: Q4m5tunnel      = 1
20: Q14m6Q3m5tunnel = 3
21: Q10m10tunnel    = 5
21: Q9m10tunnel     = 3
22: Q8Q12m15tunnel  = 0
23: Q4m4tunnel      = 15
24: Q9m9tunnel      = 7
25: Q14Q3m14tunnel  = 0
.20: Q5m5tunnel      = 1
20: Q4m5tunnel      = 1
20: Q14m6Q3m5tunnel = 3
21: Q10m10tunnel    = 5
21: Q9m10tunnel     = 3
22: Q8Q12m15tunnel  = 0
23: Q4m4tunnel      = 15
24: Q9m9tunnel      = 7
25: Q14Q3m14tunnel  = 0
.20: Q5m5tunnel      = 1
20: Q4m5tunnel      = 1
20: Q14m6Q3m5tunnel = 3
21: Q10m10tunnel    = 5
21: Q9m10tunnel     = 3
22: Q8Q12m15tunnel  = 0
23: Q4m4tunnel      = 15
24: Q9m9tunnel      = 7
25: Q14Q3m14tunnel  = 0
.20: Q5m5tunnel      = 1
20: Q4m5tunnel      = 1
20: Q14m6Q3m5tunnel = 3
21: Q10m10tunnel    = 5
21: Q9m10tunnel     = 3
22: Q8Q12m15tunnel  = 0
23: Q4m4tunnel      = 15
24: Q9m9tunnel      = 7
25: Q14Q3m14tunnel  = 0
.20: Q5m5tunnel      = 1
20: Q4m5tunnel      = 1
20: Q14m6Q3m5tunnel = 3
21: Q10m10tunnel    = 5
21: Q9m10tunnel     = 3
22: Q8Q12m15tunnel  = 0
23: Q4m4tunnel      = 15
24: Q9m9tunnel      = 7
25: Q14Q3m14tunnel  = 0
.20: Q5m5tunnel      = 1
20: Q4m5tunnel      = 1
20: Q14m6Q3m5tunnel = 3
21: Q10m10tunnel    = 5
21: Q9m10tunnel     = 3
22: Q8Q12m15tunnel  = 0
23: Q4m4tunnel      = 15
24: Q9m9tunnel      = 7
25: Q14Q3m14tunnel  = 0
.20: Q5m5tunnel      = 1
20: Q4m5tunnel      = 1
20: Q14m6Q3m5tunnel = 3
21: Q10m10tunnel    = 5
21: Q9m10tunnel     = 3
22: Q8Q12m15tunnel  = 0
23: Q4m4tunnel      = 15
24: Q9m9tunnel      = 7
25: Q14Q3m14tunnel  = 0
.1 0
2 0
4 0
8 0
16 0
32 0
64 0
128 0
256 0
512 0
1024 0
2048 0
4096 0
8192 0
16384 0
30984 1
32768 1
54966 2
65536 2
131072 2
243486 4
262144 5
471127 8
524288 9
909127 16
Block 1: workdir5/coll1_874036238
c0 e2 55 02 7a ec 2b eb 90 65 c2 d5 2f 61 bb 52 
2a 43 2c 7d 26 58 6d 5f 25 ea 65 17 6e 91 61 5b 
80 25 d6 5c 3f 2c 8e 66 d6 6d b0 0d c1 90 08 60 
c0 07 9e f3 d6 44 26 6c 5e 22 35 84 8c d6 55 17 
Block 2: workdir5/coll2_874036238
c0 e2 55 02 7a ec 2b eb 90 65 c2 d5 2f 61 bb 52 
2a 43 2c 7d 26 58 6d 5f 25 ea 65 17 6e 91 61 5b 
80 25 d6 5c 3f 2c 8e 66 d6 6d b0 0d c1 50 08 60 
c0 07 9e f3 d6 44 26 6c 5e 22 35 84 8c d6 55 17 
Found collision!
